HOUSEID,VARSTRAT,WTHHFIN,DRVRCNT,CDIVMSAR,CENSUS_D,CENSUS_R,HH_HISP,HH_RACE,HHFAMINC,HHRELATD,HHRESP,HHSIZE,HHSTATE,HHSTFIPS,HHVEHCNT,HOMEOWN,HOMETYPE,MSACAT,MSASIZE,NUMADLT,RAIL,RESP_CNT,SCRESP,TRAVDAY,URBAN,URBANSIZE,URBRUR,WRKCOUNT,TDAYDATE,FLAG100,LIF_CYC,CNTTDHH,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20014470,79,145.52595297,3,92,09,04,02,01,12,-1,01,3,CA,06,3,01,03,02,04,3,02,3,-1,01,01,04,01,1,200808,01,10,10,C,3000,50,7000,3000,7000,60,7000,41740,7320
20015141,84,25.744435006,2,43,04,02,02,01,14,-1,01,4,SD,46,4,01,01,03,01,2,02,3,-1,04,04,06,02,2,200808,01,04,15,TC,300,20,300,25,300,5,300,XXXXX,XXXX
20015196,35,51.397750082,1,43,04,02,02,01,17,-1,01,1,NE,31,3,01,01,03,03,1,02,1,01,04,04,06,02,0,200901,01,09,2,S,1500,5,7000,1500,1500,20,3000,XXXXX,XXXX
20015721,45,1196.7109246,1,43,04,02,02,01,03,-1,01,1,IA,19,1,02,03,03,02,1,02,1,01,07,01,02,01,0,200811,01,09,0,S,750,20,3000,350,1500,30,7000,XXXXX,XXXX
20016296,2,272.81062331,0,53,05,03,02,01,01,-1,01,2,GA,13,0,02,03,03,02,1,02,2,-1,04,01,02,01,0,200805,01,05,6,C,1500,60,3000,750,750,80,3000,XXXXX,XXXX
20016867,97,334.79193434,1,83,08,04,01,07,02,-1,01,5,AZ,04,1,02,03,03,03,2,02,1,-1,01,01,03,01,1,200810,02,04,2,U,7000,70,7000,3000,7000,80,7000,XXXXX,XXXX
20017060,79,589.43539623,1,53,05,03,02,01,07,-1,01,1,GA,13,1,02,01,03,02,1,02,1,01,07,02,06,01,1,200904,01,01,5,TC,50,40,300,75,300,30,300,XXXXX,XXXX
20017631,14,401.27508149,1,32,03,02,02,01,02,-1,01,1,IN,18,1,01,01,02,04,1,02,1,01,05,01,04,01,0,200804,01,09,2,C,1500,50,1500,5000,1500,40,3000,26900,3480
20017761,45,296.97654391,1,54,05,03,02,01,08,-1,01,1,FL,12,1,01,04,04,06,1,02,1,01,06,04,06,02,1,200807,01,01,2,TC,50,20,50,25,50,20,50,XXXXX,-1
20017903,75,166.31119735,2,53,05,03,02,01,18,-1,01,5,VA,51,2,01,01,03,03,2,02,3,-1,03,01,03,01,1,200807,01,04,21,TC,750,5,1500,350,750,0,3000,40060,XXXX
20017949,51,251.92600874,4,72,07,03,02,01,-7,-1,01,5,TX,48,4,01,01,02,05,2,02,5,-1,05,01,04,01,1,200809,01,06,37,S,300,0,1500,350,300,0,1500,19100,1922
20018991,97,329.24889226,1,24,02,01,02,01,10,-1,01,1,NY,36,1,02,03,04,06,1,02,1,01,04,02,06,01,1,200808,01,01,9,TC,300,60,1500,3000,1500,70,3000,XXXXX,-1
